iteration,coeff_change,pde_residual,continuity_residual,solve_time,cond_number
0,1.0,0.7683182557984004,0.18089182187095085,0.003215312957763672,41.898601263636046
1,0.4249904939182909,0.12241586876555036,0.1631868081022753,0.002750873565673828,75.27255756198184
2,0.051112556278042974,0.1234923354589969,0.15254014015909848,0.002801656723022461,73.3354285491395
3,0.011406870274511156,0.11670674003824946,0.1526280666044175,0.0027353763580322266,73.6725167831815
4,0.002997387484816403,0.11673051347165392,0.15251124433798635,0.002682209014892578,73.65946253402574
5,0.0006685112576460811,0.11634372327002052,0.1525222119139706,0.0027103424072265625,73.67380925229102
6,0.0001768922973868665,0.11634391190405631,0.15251680677367108,0.002631664276123047,73.67300548514781
7,3.951624834894508e-05,0.11632100727929584,0.1525174995164616,0.00258636474609375,73.67383234787594
8,1.046473661804167e-05,0.11632095249017406,0.15251718320340196,0.0025839805603027344,73.67378614151788
9,2.3380078861293376e-06,0.11631959304341957,0.15251722388093977,0.0027599334716796875,73.67383495719845
10,6.19507219229e-07,0.11631958586753456,0.1525172052156706,0.002674102783203125,73.67383235065036
11,1.383744229012734e-07,0.11631950515768237,0.15251720757976814,0.00276947021484375,73.67383523976017
12,3.668602596845664e-08,0.1163195044985438,0.15251720647859013,0.0026788711547851562,73.6738350933703
13,8.19204074737938e-09,0.1163194997060987,0.15251720661575546,0.0026412010192871094,73.67383526442535
14,2.173037632463499e-09,0.11631949965312507,0.15251720655079015,0.002714872360229492,73.67383525623045
15,4.851275869198665e-10,0.11631949936851574,0.15251720655874437,0.002775907516479492,73.67383526635966
