iteration,n_func_evals,loss,pde_loss,ic_loss,bc_loss,wall_time
0,0,5.4882781198594675,0.0,0.5488278119859468,0.0,0.0007288455963134766
1,2,2.463702037446229,1.3747529701245038,0.10889490673217253,5.216898009092123e-35,0.006198406219482422
2,5,1.815875805451476,1.0811482932308059,0.07347275122206702,8.405633541381908e-35,0.011945486068725586
3,7,1.611103579783387,0.8502247825373862,0.07608787972460009,2.2782652422316914e-35,0.01603555679321289
4,9,1.044083693125505,0.4878235930952361,0.055626010003026895,1.1276142172737147e-33,0.021715879440307617
5,11,0.9205103348083732,0.7133136468100322,0.020719668799834105,3.4975919348736266e-33,0.02778482437133789
6,13,0.6286575452942876,0.44086212785353535,0.018779541744075225,3.0114354139700052e-33,0.032709360122680664
7,15,0.5346270598768561,0.38574837927244604,0.014887868060441001,2.8068812692613473e-33,0.03959155082702637
8,17,0.41494792055228463,0.31660824572831164,0.0098339674823973,2.8735200372253407e-33,0.04503750801086426
9,19,0.28542491177348334,0.23287518557539752,0.005254972619808582,3.848469259501635e-33,0.05245471000671387
10,22,0.2307451157834023,0.2020938487887655,0.002865126699463679,6.30774253206362e-33,0.06031370162963867
11,24,0.16485179272948516,0.1491946093517588,0.0015657183377726378,7.145240088344858e-33,0.06824445724487305
12,26,0.13697023829463964,0.1251068304587519,0.001186340783588775,7.02227438696485e-33,0.07465505599975586
13,28,0.1078458553079817,0.09980930656237166,0.0008036548745610042,7.918904659953436e-33,0.08354401588439941
14,30,0.09332704714531073,0.0890228807823806,0.00043041663629301316,7.234019391309158e-33,0.08994483947753906
15,32,0.08134367917391004,0.07842294019242382,0.0002920738981486212,7.847888254334821e-33,0.09598565101623535
16,34,0.07248219869840769,0.07043590132259009,0.00020462973758176,8.433389210809937e-33,0.10686683654785156
17,36,0.06500846199095488,0.0631128797125291,0.0001895582278425773,8.821302526924819e-33,0.11661124229431152
18,38,0.05084379661224721,0.04919807918717319,0.0001645717425074013,9.714829344249727e-33,0.1259632110595703
19,40,0.04568710277724474,0.044179442028912094,0.00015076607483326446,1.0277754392037327e-32,0.13610219955444336
20,42,0.036843871547815044,0.03526809724162379,0.00015757743061912535,1.0435638411956435e-32,0.1438131332397461
21,44,0.033371281628881665,0.031909304752597366,0.00014619768762843004,1.0426951330650385e-32,0.15262889862060547
22,46,0.0294184979525753,0.02789395736409521,0.00015245405884800934,1.0484273957098225e-32,0.16371679306030273
23,48,0.027607357645997647,0.02587231745812563,0.0001735040187872016,1.1047583166549966e-32,0.1727006435394287
24,50,0.024674474460083154,0.023041480973162224,0.00016329934869209296,1.0990820079164008e-32,0.18377351760864258
25,52,0.023080928967123614,0.021605434175884806,0.00014754947912388067,1.1123348199547505e-32,0.1929612159729004
26,54,0.02190391920945214,0.02067300691095511,0.00012309122984970294,1.1396262204297487e-32,0.20459342002868652
27,56,0.02015290888181325,0.01935634368215159,7.965651996616603e-05,1.1938148734159273e-32,0.21790671348571777
28,59,0.019464654383618947,0.018829390182301016,6.352642013179313e-05,1.2351978711221386e-32,0.23314213752746582
29,61,0.018789018767512978,0.01818332943353361,6.0568933397936965e-05,1.249237490952269e-32,0.24582171440124512
30,63,0.01819033242771958,0.017561368277711303,6.289641500082742e-05,1.2572744246709328e-32,0.2570040225982666
31,65,0.017453211953732214,0.016818367528200765,6.348444255314489e-05,1.2511632487732342e-32,0.26946306228637695
32,67,0.016889987356480753,0.016248249127205402,6.417382292753506e-05,1.2829917287021789e-32,0.28150033950805664
33,69,0.016448309035025664,0.01586517034472959,5.831386902960754e-05,1.2705470791712203e-32,0.2968769073486328
34,71,0.016112382357255785,0.015575509748929062,5.368726083267219e-05,1.2740591690173712e-32,0.30983424186706543
35,73,0.015867168626375085,0.015332605384201276,5.3456324217380954e-05,1.281980861771952e-32,0.3323092460632324
36,75,0.015467282967473581,0.014952443970815818,5.148389966577641e-05,1.3255740873598434e-32,0.34789037704467773
37,77,0.015063752069581026,0.014533489514217103,5.302625553639228e-05,1.3280906262421212e-32,0.36130499839782715
38,79,0.014780347813219656,0.014265515460180988,5.14832353038668e-05,1.3285961573577673e-32,0.37718677520751953
39,81,0.01424240936760298,0.013762394400490364,4.8001496711261576e-05,1.32963091638756e-32,0.39264869689941406
40,83,0.013579369343904961,0.013120537055631792,4.588322882731679e-05,1.3253384839059158e-32,0.40731143951416016
41,86,0.013097913859348432,0.012694758066382579,4.0315579296585286e-05,1.3453942553212603e-32,0.4237067699432373
42,88,0.012407991172299914,0.012023942249682094,3.840489226178202e-05,1.337690926770603e-32,0.4386308193206787
43,90,0.011870155327814422,0.011558954949774486,3.1120037803993504e-05,1.3386573918309435e-32,0.45705366134643555
44,92,0.01111142318500114,0.010890749894412265,2.206732905888746e-05,1.3485626587326308e-32,0.4741702079772949
45,94,0.010049607746579712,0.009859152790138615,1.9045495644109588e-05,1.3632656897975666e-32,0.4902493953704834
46,96,0.008994674191263713,0.008546733283373714,4.479409078899979e-05,1.383541136947783e-32,0.5066845417022705
47,98,0.008073319465049213,0.007653141629762903,4.201778352863104e-05,1.3768988686587395e-32,0.5238959789276123
48,100,0.007275383928632916,0.006909413879020584,3.6597004961233215e-05,1.358087366027255e-32,0.540813684463501
49,102,0.006747021778308313,0.00644333486489346,3.03686913414853e-05,1.3397391921964956e-32,0.5630550384521484
50,104,0.00656953219459416,0.006328534385386807,2.409978092073532e-05,1.2745642482518307e-32,0.5837357044219971
51,106,0.005505132095408606,0.0053277365554478765,1.7739553996072884e-05,1.2742678868881696e-32,0.597343921661377
52,108,0.005380791561424106,0.00520236719482952,1.7842436659458652e-05,1.277553220300022e-32,0.6124424934387207
53,110,0.0051795624442108066,0.004994398927761296,1.851635164495103e-05,1.2689040954935806e-32,0.6293544769287109
