quasi_iter,n_func_evals,nonlinear_residual,update_norm,linear_residual,pde_loss,ic_loss,bc_loss,total_loss,wall_time
0,0,4.841291013868034,0.0,0.0,0.0,0.4841291013868034,0.0,4.841291013868034,0.001931905746459961
1,1,0.3113557808875318,1.0,0.0,0.3113557808875318,2.638573091141014e-24,2.703761483268586e-32,0.3113557808875318,0.2904374599456787
2,2,0.002220042908948092,0.9592122925872417,0.0,0.002220042908948092,6.609240737914552e-21,1.3002544702699067e-32,0.002220042908948092,0.6163334846496582
3,3,1.7142522636397406e-08,0.7003180887397688,0.0,1.7142522160683794e-08,4.7571361300689136e-17,1.2367766474973514e-32,1.7142522636397406e-08,1.0264875888824463
4,4,3.4953135157099026e-09,0.1373713473979931,0.0,3.4953123047970217e-09,1.2109128808985415e-16,1.2367050101322572e-32,3.4953135157099026e-09,1.3370411396026611
