quasi_iter,n_func_evals,nonlinear_residual,update_norm,linear_residual,pde_loss,ic_loss,bc_loss,total_loss,wall_time
0,0,38.44000000000001,0.0,0.0,38.44000000000001,0.0,0.0,38.44000000000001,0.0005826950073242188
1,1,0.42434813807566707,1.0,0.0,0.4243480799797853,0.0,5.809588177349471e-09,0.42434813807566707,0.0957033634185791
2,2,0.0023241210670359148,0.007447704956439005,0.0,0.0023240636242581993,0.0,5.7442777715284426e-09,0.0023241210670359148,0.1719965934753418
3,3,2.669061322080342e-07,7.764871789043006e-05,0.0,2.0947043612984986e-07,0.0,5.743569607818433e-09,2.669061322080342e-07,0.25792360305786133
4,4,1.0658274766854376e-07,5.803907440999173e-06,0.0,4.914757792584596e-08,0.0,5.74351697426978e-09,1.0658274766854376e-07,0.34827113151550293
