iteration,coeff_change,pde_residual,continuity_residual,solve_time,cond_number
0,1.0,5.739799441742936,3.5360829027145044e-06,71.81946921348572,1.7757410075922458e+18
1,0.7711364118648019,1.3567318255932176e-06,3.555854759650622e-06,75.5357403755188,2.303072489447215e+18
2,6.956178609930892e-07,1.3567160586092736e-06,3.5559310303702375e-06,75.03556728363037,2.2449142237720048e+19
3,6.988233291334715e-10,1.3567160300476702e-06,3.555930997099556e-06,75.36208462715149,4.223577136844986e+19
