iteration,n_func_evals,loss,pde_loss,ic_loss,bc_loss,wall_time
0,0,14.350523072251402,1.0080703615210075e-05,0.40056969233718176,1.034481606817597,0.003222227096557617
1,2,10.820146461596227,0.0013215345565398364,0.30510036834325804,0.7767821243607106,0.034644365310668945
2,4,4.63115661384508,0.5730634477980248,0.1872161830870656,0.21859313351763993,0.06570148468017578
3,6,4.203027396714278,1.7678952273565354,0.14534850931556464,0.09816470762020965,0.09270954132080078
4,9,4.802473441452551,3.9719501064407887,0.07310530156039192,0.009947031940784327,0.1333165168762207
5,11,4.850086734962551,4.041962150284844,0.07505499972314701,0.005757458744623731,0.16016817092895508
6,14,4.53390055230012,3.769270104084296,0.07149447204358839,0.004968572777994054,0.20102357864379883
7,16,4.217304340783611,3.4957002945378997,0.06803977163164494,0.004120632992926155,0.22870135307312012
8,18,4.124277598063739,3.4232304850810453,0.06581866110902414,0.004286050189245263,0.25576162338256836
9,20,3.799923606759842,3.1440905184726424,0.06323373376397831,0.0023495750647416053,0.28362154960632324
10,22,3.6302958103419103,3.0003130856675115,0.061415599297890644,0.001582673169549215,0.3106389045715332
11,24,3.6558817709830604,3.055680623926886,0.05888581194789746,0.0011343027577199977,0.3381209373474121
12,26,4.119979513944473,3.5147653991425205,0.055156276330345956,0.005365135149849247,0.3655834197998047
13,29,3.928045484210391,3.336390522080901,0.056487712514255495,0.0026777836986935093,0.40554356575012207
14,31,3.8965256914643076,3.3056779341171723,0.0565394832865185,0.0025452924481950585,0.43333911895751953
15,33,3.8868415387220008,3.296999141151579,0.05662388571857637,0.0023603540384657807,0.4626901149749756
16,35,3.883820715095829,3.299634341641773,0.05676278564666955,0.0016558516987360463,0.49176836013793945
17,37,3.9161231512904777,3.335974628886221,0.05653781174591168,0.0014770404945139795,0.5208399295806885
18,39,4.284948884085733,3.7343881642302708,0.05297671352256739,0.0020793584629787885,0.5521543025970459
19,41,4.374238500811577,3.8342059892264304,0.052099098104191305,0.001904153054323394,0.5872557163238525
20,43,4.388961786946397,3.862395836653565,0.05142297811310054,0.001233616916182681,0.6205916404724121
