iteration,coeff_change,pde_residual,continuity_residual,solve_time,cond_number
0,1.0,2.664548165208451,7.06207565514018e-10,0.837559700012207,307935.32180414564
1,0.7308190475119887,0.152059327018792,1.6053059071244303e-07,0.8791768550872803,399740.00797366607
2,0.08075376401135868,4.6899605289471864e-05,2.072756331804952e-09,0.9705002307891846,387522.28336227126
3,0.001710318504941521,2.05249351982787e-12,2.2146235144433133e-15,0.9426164627075195,387201.43042166467
4,2.9710251015941407e-07,8.239617696675662e-26,2.706871411917956e-25,0.933072566986084,387203.9009556511
5,4.903490234182278e-14,4.505996168308053e-26,2.70704925401093e-25,0.8954966068267822,387203.91263183655
