quasi_iter,n_func_evals,nonlinear_residual,update_norm,linear_residual,pde_loss,ic_loss,bc_loss,total_loss,wall_time
0,0,5.003524967250257,0.0,0.0,0.0,0.5003524967250257,0.0,5.003524967250257,0.0009312629699707031
1,1,0.3359842042469071,1.0,0.0,0.3359842042469071,3.14323605779088e-20,2.5638583394315127e-32,0.3359842042469071,0.12819242477416992
2,2,0.0020790156991371315,0.8405298845663085,0.0,0.0020790156991368695,2.621090039358772e-17,1.3636382294998585e-32,0.0020790156991371315,0.2736673355102539
3,3,1.1027080172419246e-07,0.33479179813180915,0.0,1.1027071972021055e-07,8.200398190712845e-15,1.3093609834737088e-32,1.1027080172419246e-07,0.39537811279296875
4,4,9.725196537124393e-08,0.008604261014600267,0.0,9.725169845968903e-08,2.6691155490078018e-14,1.309276646126541e-32,9.725196537124393e-08,0.5100698471069336
