iteration,n_func_evals,loss,pde_loss,ic_loss,bc_loss,wall_time
0,0,5.003524967250257,0.0,0.5003524967250257,0.0,0.0016531944274902344
1,2,4.24398187524274,3.1503574080742305,0.10936244671685094,2.0266573854746443e-33,0.0062754154205322266
2,4,3.9982981325048668,3.118388157114897,0.087990997538997,4.146834604898846e-33,0.010238885879516602
3,6,2.620002213595908,1.06280029597746,0.1557201917618448,6.0040075447340425e-34,0.01548314094543457
4,8,2.5301712656923137,1.0531660856536107,0.1477005180038703,5.419328679784718e-34,0.02006697654724121
5,10,2.4173403491263015,1.0707904519798828,0.1346549897146419,8.312773066752909e-34,0.024161100387573242
6,12,2.1363969284739044,1.1544981159512666,0.0981898812522638,2.569878806415261e-33,0.031091690063476562
7,14,1.9631419599369286,1.3131725856452512,0.06499693742916775,8.232191538983697e-33,0.03862333297729492
8,16,1.7021917945520237,1.143273196185222,0.05589185983668017,8.472493784276383e-33,0.043370962142944336
9,18,1.608476855320148,1.0212283866111524,0.058724846870899565,8.801136055515759e-33,0.04842114448547363
10,20,1.5301632885197982,0.9524063283392341,0.0577756960180564,9.164827590047092e-33,0.05425286293029785
11,22,1.4209941914410802,0.9023841363416747,0.05186100550994056,9.98792941180015e-33,0.06052732467651367
12,24,1.3427917851056868,0.9322248609167308,0.041056692418895605,9.21103995167953e-33,0.06629467010498047
13,26,1.2328173530936422,0.8739033572590656,0.035891399583457655,9.500519954624555e-33,0.07140827178955078
14,28,1.178529978430451,0.8525370593514842,0.03259929190789668,8.967251326004033e-33,0.07859683036804199
15,30,1.1159506135927562,0.827880683004802,0.028806993058795412,8.063781104268751e-33,0.0878140926361084
16,32,1.0115288642091869,0.7747840918413649,0.02367447723678219,7.053769514840929e-33,0.09451436996459961
17,35,0.9463486669636332,0.7483775278352593,0.019797113912837377,6.232196849269018e-33,0.10274529457092285
18,37,0.8336865167997933,0.6753982355786597,0.01582882812211336,5.7226800894112885e-33,0.11002349853515625
19,39,0.7668438390054196,0.6266590032740957,0.014018483573132392,6.186300029607931e-33,0.11702513694763184
