quasi_iter,n_func_evals,nonlinear_residual,update_norm,linear_residual,pde_loss,ic_loss,bc_loss,total_loss,wall_time
0,0,14.927842646451849,0.0,0.0,14.92659512133519,9.476814660916168e-06,0.00011527569700513251,14.927842646451849,0.0006003379821777344
1,1,6.9473568661704785,1.0471540952738025,0.0,5.919899011196269,0.035110590345675485,0.06763519515174543,6.9473568661704785,0.004637241363525391
2,2,1.4593811725901387,0.9525430327277922,0.0,0.8051871270961634,0.018837100417941302,0.04658230413145624,1.4593811725901387,0.008199930191040039
3,3,1.149951398321673,0.4343893195704711,0.0,0.6581522752465423,0.013087716607848313,0.03609219569966476,1.149951398321673,0.012967586517333984
4,4,0.8289933453154157,0.8339912521122924,0.0,0.46084486662569074,0.009264771354409188,0.02755007651456331,0.8289933453154157,0.01672840118408203
5,5,0.5636299580029351,0.7844718699282371,0.0,0.33251000306766354,0.006436414622827496,0.016675580870699657,0.5636299580029351,0.02031421661376953
6,6,0.35857519227638057,0.9382182136954081,0.0,0.24919141914012385,0.00453274210092221,0.006405635212703464,0.35857519227638057,0.023744583129882812
7,7,0.22388433470300173,1.3103492927756188,0.0,0.16815585383731346,0.002977915003157926,0.0025949330834109,0.22388433470300173,0.02755880355834961
8,8,0.17729468863261855,0.7819291935525595,0.0,0.1477581444476646,0.0019010701187498343,0.0010525842997455585,0.17729468863261855,0.03227353096008301
9,9,0.09340702382831746,0.9821520543062726,0.0,0.07345941348540294,0.001464970014204785,0.0005297910200866675,0.09340702382831746,0.03580474853515625
10,10,0.07678466141788004,0.28460171983747085,0.0,0.056459894874065775,0.00164244102725722,0.00039003562712420646,0.07678466141788004,0.039624929428100586
