iteration,n_func_evals,loss,pde_loss,ic_loss,bc_loss,wall_time
0,0,12.550816918505213,12.543825133979917,0.00015446315052765423,0.0005447153020018464,0.006926536560058594
1,2,11.269971727299104,4.948399336955954,0.19035687492775527,0.4418003641065596,0.026647090911865234
2,4,7.866739650641084,2.973673857073932,0.18582559011067373,0.30348098924604144,0.04346513748168945
3,7,5.155924779453906,3.588768866906177,0.08364492759950168,0.07307066365527115,0.06496548652648926
4,9,4.43562529961601,1.2928144645709556,0.1612940878090854,0.15298699569542004,0.0797276496887207
5,11,3.9231644371303878,1.5430134975914656,0.13017264954877744,0.10784244440511478,0.09398245811462402
6,13,3.4687565915838503,1.9909850237522273,0.0894903233383608,0.05828683344480151,0.10882306098937988
7,15,3.096822062297461,2.0895587837566185,0.06853242865436274,0.032193899199721474,0.12388873100280762
8,17,2.5906148288995983,1.9055998620473475,0.047916066231770166,0.020585430453454893,0.13933396339416504
9,19,1.86768656436925,1.2764278682982213,0.02934450241492806,0.029781367192174817,0.15404868125915527
10,21,1.6270787847360588,0.8972201698047024,0.021494341446099414,0.051491520047036235,0.1687474250793457
11,23,1.4011272222448674,0.8755387615737594,0.015699755170218974,0.03685909089689182,0.18477797508239746
12,25,1.3723525600788447,0.8684287182713228,0.0142405192713771,0.036151864909375074,0.1993238925933838
13,27,1.3366977673150933,0.8299859413616902,0.015342982180465365,0.03532820041487493,0.2148914337158203
14,29,1.2344606485973448,0.7051035134937821,0.01991815187009903,0.03301756164025725,0.23019647598266602
15,31,1.1751666993327,0.6542749005587286,0.021576556331776832,0.0305126235456203,0.2459726333618164
16,33,1.0870608971790796,0.5957038463489582,0.02261242590451647,0.026523279178495677,0.26131582260131836
17,35,1.040974916573774,0.5632332436677617,0.023245327710443554,0.02452883958015768,0.2777392864227295
18,37,1.010916393502765,0.5306672248851954,0.023657203416535353,0.024367713445221623,0.29361820220947266
19,39,0.9774042951475114,0.4677318643048429,0.0258939897731517,0.025073253311115134,0.3096773624420166
20,42,0.9429387637949281,0.37328150879209654,0.029521844543096767,0.027443880957186396,0.3317887783050537
21,44,0.9120546964943075,0.3759419856317087,0.03010527079250198,0.023506000293757892,0.3489723205566406
22,46,0.890742342102289,0.3627363580738186,0.03169969199485508,0.02110090640799195,0.3660562038421631
23,48,0.87203039908278,0.35088829770380364,0.030991600841090455,0.021122609296807177,0.3822462558746338
24,50,0.8600871119649308,0.3502180735112895,0.03014101296073378,0.020845890884630354,0.3993496894836426
25,52,0.8580832078611398,0.3241398803782715,0.02816855043373248,0.025225782314554343,0.4164750576019287
26,54,0.8543232361922364,0.34077203916187515,0.02802777680813351,0.023327342894902618,0.43322110176086426
27,56,0.8528940735510355,0.3466640072544422,0.027308816938189342,0.023314189691469988,0.45142602920532227
28,58,0.8495857218104226,0.3561785642193217,0.02572089910577693,0.02361981665333316,0.4683980941772461
29,60,0.845178219430325,0.35930247368823304,0.02472977803339909,0.023857796540810106,0.485828161239624
30,62,0.8336470104438104,0.36182772907830213,0.02258928461920441,0.02459264351734642,0.5032904148101807
31,64,0.8239126902385225,0.34741589889170577,0.022883196602286215,0.02476648253239546,0.5205624103546143
32,66,0.8068452239251651,0.30574467526724725,0.025396271915692666,0.024713782950099114,0.5387225151062012
33,68,0.7982015764467291,0.2860624869728153,0.026287392381846443,0.02492651656554494,0.5561110973358154
34,71,0.7948786042394765,0.2681272358280792,0.028555539731159166,0.02411959710998057,0.5803871154785156
35,73,0.7896146086477918,0.2538506682047367,0.027677825772454364,0.025898568271851153,0.5999393463134766
