iteration,n_func_evals,loss,pde_loss,ic_loss,bc_loss,wall_time
0,0,12.550816918505213,12.543825133979917,0.00015446315052765423,0.0005447153020018464,0.0033926963806152344
1,3,12.187028222035773,12.158367855693253,0.0013962632581819316,0.0014697733760700576,0.02503681182861328
2,6,10.77750860520422,10.714294860210055,0.004247972835762543,0.0020734016636540183,0.04471325874328613
3,8,5.397272661582551,4.883489937680773,0.025231960415933667,0.02614631197424408,0.059603214263916016
4,10,5.625263030075608,5.16057011112578,0.016676072312166126,0.02979321958281676,0.07558727264404297
5,12,4.72251381463112,3.94980554909853,0.014783845367888671,0.062486981185370334,0.08945608139038086
6,14,3.9158164873581747,2.8805468637617997,0.015403980823257531,0.08812298153638001,0.10645437240600586
7,17,4.637671130689573,3.7157261977752523,0.009330138575587323,0.08286435471584477,0.12687993049621582
8,19,4.136440903058025,3.0265163877575127,0.010746692162943904,0.10024575936710732,0.14467692375183105
9,21,3.7937966142583623,2.4008133313506077,0.012822256180807255,0.12647607210996822,0.16034746170043945
10,23,3.8737804738095565,1.8614812139582544,0.015734699193219244,0.18549522679191097,0.17548227310180664
11,25,3.921058106355337,1.556553128437157,0.01536902457720806,0.22108147321460994,0.1936020851135254
12,27,3.9219861266172953,1.6098832808340002,0.01337175287735097,0.21783853170097855,0.20914864540100098
13,29,4.022925755878337,1.5852075846104645,0.01329894171467116,0.23047287541211608,0.22761249542236328
14,31,4.05092183836444,1.901488648364218,0.012973866526451595,0.20196945247357062,0.24558496475219727
15,33,3.9304617550463976,1.867479486618322,0.012276538038035207,0.19402168880477239,0.2634899616241455
16,35,3.9069311434454934,1.8870123815563775,0.012645454718488004,0.1893464214704236,0.28180599212646484
17,37,3.7894455117568246,1.8521194477850074,0.012330065401577746,0.18140254099560396,0.30019307136535645
18,39,3.7775957883821407,1.861329799390562,0.013214180296547307,0.17841241860261056,0.3179020881652832
19,41,3.652479866958758,1.7733293432377166,0.013069264288084964,0.17484578808401918,0.3368685245513916
20,43,3.5485483765856323,1.6959213490826646,0.014077714582469801,0.17118498816782698,0.35320115089416504
21,46,3.2650400998551934,1.2155856671576921,0.014347930964245751,0.19059751230550434,0.37864112854003906
22,49,3.536816462921068,1.0388224542462363,0.021254070125208142,0.22854533074227504,0.4010450839996338
23,51,4.065781461343984,1.6407279464844766,0.04022389667872936,0.20228145480722137,0.4218413829803467
24,53,3.886365744964441,1.4404061314280463,0.029439616123050592,0.21515634523058885,0.44121694564819336
25,55,4.074698032507317,1.6921702666246512,0.027760145002245773,0.21049263158602088,0.46042490005493164
26,57,4.275486935746294,1.8937520580090337,0.02703428319277843,0.21113920458094756,0.48160552978515625
27,59,4.742257677254303,2.282360266257573,0.02785313702359619,0.2181366040760768,0.5025897026062012
28,61,4.861854684816738,2.4223674392884447,0.0274765360465571,0.21647218850627228,0.5235533714294434
29,63,5.639643898527003,2.932118828571226,0.03516377144647059,0.23558873554910717,0.5432798862457275
30,65,5.242325096689178,2.614671070852055,0.04195307032883386,0.22081233225487837,0.5591135025024414
31,67,5.151300392305273,2.4437098405778297,0.06144916008128879,0.20930989509145553,0.5797116756439209
32,69,5.015212241099637,2.6628465514874553,0.06543317477189145,0.16980339418932677,0.6025769710540771
33,71,5.012930772954582,2.663082927154937,0.06866396173200562,0.1663208228479589,0.6217458248138428
34,73,5.044974785221738,2.6829192183538098,0.07494924254734113,0.16125631413945168,0.6411831378936768
35,75,5.076288023989636,2.723810314566797,0.07988783940732652,0.1553599315349574,0.6657845973968506
36,77,5.142827547633696,2.7326638044510188,0.08910790241463794,0.1519084719036298,0.6853463649749756
37,79,5.188773613737776,2.762635985667782,0.09495742831471482,0.1476563344922845,0.707134485244751
38,81,5.321635460888393,2.7864416657685114,0.11269636446767455,0.1408230150443136,0.728766918182373
39,85,5.351878976982446,2.736694522658066,0.11454563673759899,0.14697280869483892,0.7608439922332764
40,88,5.214262525219212,2.7716504949604768,0.10625736252585152,0.13800384050002193,0.7869131565093994
41,90,4.895639110204369,2.3876804999377916,0.10994189738353682,0.14085396364312097,0.8126101493835449
42,92,4.61223623708433,2.108134285661353,0.13000182387327353,0.12040837126902422,0.8390133380889893
43,95,4.277643066022505,2.08903888852662,0.10140872930690403,0.11745168844268447,0.867760419845581
44,97,4.201349254263693,1.8610838126208402,0.08508780827193485,0.14893873589235043,0.8933606147766113
45,99,4.1777013599731925,1.8155516717349245,0.08499682016919236,0.15121814865463443,0.9155189990997314
46,101,4.015270528040671,1.803219966685089,0.07419709108680499,0.14700796504875324,0.9427311420440674
47,103,3.9105693843557483,1.7287906972306197,0.06796034952736604,0.1502175191851468,0.97113037109375
48,105,3.803492022334971,1.6324498381205466,0.061951593220112504,0.15515262520132994,0.9936203956604004
49,107,3.7662953682598057,1.6173103349555624,0.05940707702416853,0.15549142630625581,1.0167427062988281
50,109,3.7345542278483674,1.6011887523279604,0.05862952978682547,0.1547070177652152,1.0414934158325195
51,111,3.6066413247524953,1.533569818769668,0.05354854324403034,0.15375860735425237,1.0632474422454834
52,113,3.470185803863225,1.4862383137508313,0.0545973762585756,0.14379737275266377,1.0848274230957031
53,115,3.312289733758288,1.4815559801461577,0.05326855591246887,0.12980481944874417,1.1073334217071533
