iteration,coeff_change,pde_residual,continuity_residual,solve_time,cond_number
0,1.0,2.799619828908558,4.876959160644044e-07,0.09624004364013672,3073.9038734413575
1,0.7376237070284776,0.15001921704519666,3.149902698601562e-05,0.1097402572631836,5951.129384528723
2,0.08470561869491289,4.822547315511542e-05,5.6593732420955904e-08,0.11711597442626953,6069.502243645349
3,0.0017647957471274697,6.448588762575527e-10,1.659204786005235e-09,0.10477113723754883,6065.0784493671945
4,1.949951068579016e-07,6.443409935204639e-10,1.658648481894332e-09,0.09738969802856445,6064.94977272199
5,1.5110136042107555e-12,6.443409962496514e-10,1.6586484764232904e-09,0.09792065620422363,6064.949764435988
